customer_ID,shopping_pt,state,homeowner,car_age,car_value,age_oldest,married_couple
10000193,10,PA,0,1,e,21,0
10000194,7,NY,1,7,e,52,0
10000197,8,MD,0,9,d,23,0
10000198,8,IN,1,8,e,35,0
10000200,5,NE,0,9,h,46,0
10000203,4,RI,1,1,f,66,0
10000205,8,OH,1,3,g,38,1
10000206,11,OH,0,0,e,30,0
10000208,5,WA,1,4,d,25,0
10000209,4,NY,1,7,g,52,0
10000210,6,UT,1,10,f,75,1
10000211,10,OH,1,16,f,35,0
10000212,7,WV,0,13,d,75,0
10000214,7,PA,0,16,e,26,0
10000215,9,FL,1,16,e,68,0
10000216,10,FL,1,12,e,52,0
10000217,8,FL,1,7,d,75,1
10000218,8,ID,1,8,e,61,0
10000220,6,PA,1,10,g,61,0
10000221,6,IN,0,15,d,24,0
10000224,7,NY,0,4,f,22,0
10000227,8,ME,0,11,e,23,0
10000228,9,PA,1,11,d,44,0
10000229,8,OK,0,5,f,33,0
10000230,9,KS,1,10,e,34,1
10000236,8,MO,0,7,f,31,0
10000239,6,MD,1,1,e,33,1
10000240,8,NY,0,6,g,54,0
10000242,5,ND,0,9,f,52,0
10000243,9,FL,0,18,d,28,0
10000245,7,FL,1,17,e,44,0
10000246,5,FL,1,7,d,32,0
10000248,7,WV,1,4,e,20,0
10000250,8,MS,0,3,d,61,1
10000252,9,FL,1,8,f,31,0
10000253,4,RI,0,2,e,43,0
10000254,5,NV,1,18,e,28,1
10000255,7,FL,0,14,e,75,0
10000256,4,MD,1,2,e,54,0
10000259,6,ME,1,1,d,48,0
10000261,7,CO,1,6,e,32,0
10000262,6,KY,0,11,d,36,0
10000263,7,IN,0,7,d,26,0
10000264,7,NY,0,4,g,70,0
10000265,9,AL,1,10,h,55,0
10000266,6,PA,0,5,e,27,0
10000269,6,OK,0,6,c,24,0
10000271,4,MO,1,10,g,38,1
10000275,3,WA,1,10,f,36,0
10000277,7,FL,1,12,d,73,0
10000278,9,MD,1,7,f,52,0
10000281,3,PA,1,6,e,75,0
10000282,9,PA,0,8,e,57,0
10000283,5,OH,1,8,d,41,0
10000284,10,PA,0,6,f,50,0
10000287,4,WA,1,8,g,61,0
10000288,7,AR,0,15,d,48,1
10000293,5,DE,0,7,e,51,0
10000294,10,FL,0,12,f,62,1
10000295,8,MD,1,11,c,67,1
10000299,6,AR,1,1,d,40,0
10000305,9,FL,0,14,d,23,0
10000306,8,FL,0,11,d,30,0
10000307,8,FL,1,11,e,73,1
10000308,7,TN,1,5,d,39,1
10000310,9,OH,0,14,d,24,0
10000311,4,FL,1,6,e,63,0
10000314,10,NY,1,5,d,64,1
10000316,9,NY,0,14,f,55,1
10000318,5,GA,1,9,e,51,0
10000320,10,AL,1,11,f,28,1
10000321,8,PA,1,16,e,46,0
10000324,10,OK,0,12,g,40,0
10000330,4,MD,1,5,e,47,0
10000331,4,RI,1,10,f,28,0
10000332,8,FL,0,12,e,18,0
10000334,9,CT,0,15,e,72,0
10000335,4,MS,0,11,g,43,0
10000336,5,FL,1,3,g,51,1
10000337,9,NY,0,10,f,25,0
10000338,10,CO,1,3,f,49,0
10000339,5,PA,1,6,f,75,0
10000344,5,NY,1,1,e,73,0
10000345,8,OH,1,1,f,36,0
10000346,7,FL,0,2,g,29,0
10000347,9,IN,0,6,e,25,0
10000348,11,FL,1,6,g,75,1
10000349,7,CT,1,11,e,26,0
10000350,8,FL,1,12,e,70,0
10000351,7,AL,1,13,e,63,0
10000353,4,NH,0,8,e,19,0
10000354,8,NY,1,8,f,59,0
10000355,9,OH,1,14,d,67,0
10000357,7,FL,1,16,f,36,0
10000359,10,FL,1,1,e,27,0
10000360,11,MD,0,11,f,49,0
10000361,6,WA,0,2,f,32,0
10000362,4,PA,0,18,e,19,0
10000363,7,MD,0,2,d,24,0
10000365,5,NY,0,5,g,47,0
10000367,4,MD,1,9,f,28,0
10000368,6,FL,1,3,e,49,0
10000369,7,CT,0,10,g,25,0
10000371,9,TN,0,1,e,25,0
10000374,5,NY,1,1,e,66,1
10000375,8,MO,0,8,d,19,0
10000376,5,PA,1,19,e,37,0
10000377,6,IN,1,6,e,27,0
10000378,7,NY,1,1,i,47,0
10000379,3,UT,1,7,d,25,1
10000381,5,FL,1,6,e,71,0
10000383,6,FL,1,3,f,39,0
10000385,8,FL,1,1,f,37,0
10000386,9,NY,0,6,d,23,1
10000388,9,NY,1,1,g,56,1
10000389,8,FL,0,1,g,72,1
10000391,10,FL,1,5,g,52,1
10000392,6,NY,1,7,e,65,0
10000393,7,NY,0,7,h,25,0
10000394,9,PA,0,1,e,23,0
10000395,8,NY,0,2,f,30,1
10000396,8,TN,0,3,f,28,0
10000397,7,OR,1,6,e,60,0
10000398,7,FL,1,4,f,70,0
10000400,8,CO,0,10,f,30,0
10000401,7,UT,0,8,d,32,0
10000402,9,PA,1,6,g,32,1
10000403,5,TN,0,7,f,27,1
10000404,6,NY,1,2,f,62,0
10000405,5,MD,0,2,e,42,0
10000406,6,NY,0,0,h,28,1
10000407,5,FL,1,5,f,41,0
10000408,7,NY,0,1,f,25,0
10000410,9,MS,0,6,f,75,0
10000411,7,PA,0,12,f,28,0
10000412,3,NY,1,14,f,52,0
10000415,7,CO,1,10,h,57,1
10000416,8,FL,1,1,e,32,0
10000417,9,FL,0,1,f,33,0
10000418,8,CT,0,2,e,24,0
10000420,9,NH,1,14,e,47,1
10000422,6,MD,0,18,d,33,0
10000423,11,NV,0,15,f,35,0
10000425,8,NY,1,14,e,48,0
10000426,7,WI,0,3,f,33,1
10000428,3,KY,1,11,e,59,0
10000429,6,OR,1,8,f,49,0
10000430,9,PA,1,10,e,75,1
10000433,9,NY,0,8,d,61,0
10000435,8,NM,1,1,d,68,0
10000437,5,AL,0,11,f,25,0
10000441,6,FL,0,14,e,58,0
10000443,5,PA,0,7,d,20,0
10000444,10,MD,0,9,e,23,0
10000445,9,NY,1,19,e,75,0
10000446,6,IN,0,11,e,74,0
10000447,8,MS,0,3,f,30,0
10000448,8,PA,1,28,b,55,1
10000449,5,NY,1,3,h,45,1
10000450,7,MD,0,1,e,22,0
10000451,4,AL,1,4,f,75,1
10000452,8,FL,0,4,e,24,0
10000453,7,KS,1,8,f,24,0
10000454,9,IA,0,13,f,42,0
10000455,4,NY,1,11,e,63,0
10000457,8,FL,0,13,d,23,0
10000458,8,FL,1,4,e,73,0
10000459,8,OH,1,9,e,50,0
10000460,5,AL,1,14,f,41,0
10000463,5,OH,1,24,e,75,0
10000465,5,NY,0,17,d,36,0
10000468,9,OH,0,10,f,56,1
10000469,9,NV,1,9,h,68,1
10000471,7,OH,1,7,f,62,1
10000473,7,GA,1,18,d,48,0
10000474,7,TN,1,3,g,67,0
10000476,6,OR,0,9,d,22,0
10000478,5,MD,0,2,e,45,0
10000479,9,FL,1,17,e,75,1
10000481,7,CO,0,13,d,44,0
10000482,10,OR,0,9,e,50,0
10000483,4,NY,1,2,g,71,0
10000484,8,FL,1,2,f,49,0
10000485,5,PA,1,7,e,26,0
10000486,9,ME,1,12,e,42,0
10000487,9,AL,0,12,f,22,1
10000488,9,FL,0,5,g,24,0
10000489,6,PA,1,21,e,46,0
10000490,8,PA,0,2,e,47,1
10000491,5,WI,1,3,e,62,0
10000494,7,AL,0,16,e,29,0
10000495,5,MD,1,14,d,42,1
10000497,7,PA,1,6,f,75,0
10000499,5,UT,0,6,e,33,1
10000500,7,PA,0,3,g,45,0
10000501,7,AL,1,12,e,25,0
10000502,11,KY,0,2,e,54,0
10000504,9,NY,0,6,e,61,0
10000505,3,WA,1,2,e,45,1
10000509,7,NH,1,14,e,58,1
10000510,6,NE,1,12,f,75,0
10000511,5,NV,1,5,d,73,1
10000512,8,MO,0,11,g,20,0
10000516,6,KY,1,8,f,70,0
10000518,5,DE,1,6,g,68,0
10000521,7,MD,0,11,f,36,0
10000529,5,ND,0,2,e,25,0
10000532,7,NY,0,1,h,45,0
10000533,6,NY,0,2,h,43,0
10000534,6,UT,0,8,g,51,0
10000537,4,AR,1,10,g,35,0
10000538,9,ND,0,2,g,22,0
10000541,7,FL,1,10,f,63,1
10000543,6,AL,1,8,d,24,1
10000546,4,OH,0,5,d,21,0
10000547,9,FL,0,10,f,75,1
10000548,8,DC,0,19,c,49,0
10000549,3,MD,1,11,f,67,1
10000550,11,NV,0,0,f,54,0
10000551,3,CO,0,7,g,22,0
10000552,6,IN,1,6,h,43,0
10000558,8,FL,0,4,f,69,1
10000561,7,OR,1,12,e,68,0
10000562,3,NV,1,9,f,54,0
10000563,3,OH,0,6,e,24,0
10000565,4,ME,0,16,d,19,0
10000566,9,FL,1,8,d,69,0
10000567,6,CO,1,3,f,68,1
10000568,5,NY,1,3,e,58,1
10000569,7,WA,1,1,e,25,0
10000571,8,NY,1,6,f,63,0
10000572,7,CT,0,2,c,42,1
10000573,6,IA,0,10,f,41,0
10000574,4,NY,0,5,e,25,0
10000576,6,NY,0,3,f,23,0
10000577,7,PA,1,9,e,22,0
10000578,7,FL,1,2,d,58,0
10000580,9,AL,0,8,i,42,0
10000581,6,OK,1,8,f,51,0
10000583,7,IN,0,9,c,20,0
10000585,9,NY,1,15,d,53,0
10000586,5,OK,0,20,d,37,1
10000587,8,PA,1,1,e,66,0
10000589,10,NY,1,4,g,49,1
10000590,4,TN,1,14,e,75,1
10000593,6,OH,0,5,e,25,0
10000594,5,AL,1,8,f,58,0
10000595,7,CO,0,42,a,70,0
10000596,6,FL,1,13,g,74,0
10000598,7,OH,0,8,g,58,0
10000600,8,IN,0,12,f,48,0
10000601,9,OH,0,8,f,35,0
10000603,8,ME,1,16,e,55,1
10000608,8,NY,1,15,f,75,1
10000609,10,KY,0,11,e,21,0
10000611,10,UT,0,7,e,24,0
10000614,8,CO,0,24,c,30,0
10000615,5,WI,0,3,f,54,0
10000616,9,CT,1,1,g,46,1
10000618,8,CT,0,5,f,47,0
10000619,4,KY,0,4,e,24,0
10000622,8,MD,1,1,f,51,0
10000624,7,CO,0,1,g,28,0
10000628,7,PA,0,9,d,58,0
10000630,8,NH,0,17,e,20,0
10000631,7,NY,0,8,g,45,0
10000633,7,ID,0,17,d,18,0
10000636,10,OK,1,9,e,50,1
10000637,9,KY,0,13,c,33,0
10000639,6,PA,0,13,d,30,0
10000640,3,PA,0,13,e,29,0
10000643,4,CO,0,5,e,37,0
10000644,8,NH,1,8,g,48,0
10000647,8,MS,1,9,g,60,0
10000648,3,NY,1,13,h,44,1
10000649,9,UT,0,16,c,65,0
10000650,5,GA,1,2,e,45,0
10000655,4,OH,1,15,e,44,0
10000658,9,WI,0,12,e,58,0
10000660,5,NY,1,4,e,22,0
10000663,9,NV,1,7,f,43,1
10000664,3,OH,1,1,d,52,0
10000666,7,NY,1,4,g,38,0
10000668,7,FL,1,2,f,34,0
10000669,9,OH,1,17,g,36,0
10000670,6,FL,1,11,g,71,0
10000671,9,GA,0,8,g,42,0
10000673,8,PA,0,14,e,63,0
10000674,8,MD,0,1,e,25,0
10000675,11,PA,0,2,e,75,0
10000676,9,FL,0,12,f,56,0
10000677,8,FL,1,2,f,55,0
10000680,4,NE,0,6,g,27,0
10000682,9,AL,1,13,e,38,0
10000683,10,NM,1,10,f,53,0
10000685,4,ID,1,6,f,41,0
10000686,8,OH,0,3,f,22,0
10000687,6,IN,1,12,f,26,0
10000689,10,KY,0,4,d,46,0
10000690,7,AR,0,2,d,52,0
10000691,7,IN,0,11,f,24,0
10000692,8,OR,1,3,g,75,1
10000693,8,PA,1,15,e,65,1
10000694,5,NY,1,8,d,40,1
10000695,5,OH,0,16,d,41,0
10000697,9,FL,0,1,d,38,0
10000699,9,FL,1,5,f,72,1
10000700,4,OH,0,7,e,30,0
10000701,5,DE,0,7,g,22,0
10000702,3,MO,1,6,e,70,0
10000703,7,AL,0,6,g,58,0
10000704,5,PA,1,19,c,69,0
10000706,7,MD,1,13,e,56,0
10000708,11,AR,1,2,e,33,0
10000709,6,OR,0,8,f,62,0
10000710,9,PA,1,13,e,66,0
10000712,7,NY,1,8,h,43,0
10000715,8,IN,0,10,h,20,0
10000716,5,NV,1,2,d,41,0
10000719,6,FL,1,13,e,21,0
10000720,6,NY,0,8,f,57,1
10000721,9,FL,0,15,c,22,0
10000722,5,RI,1,1,e,40,0
10000724,4,NY,0,6,d,24,0
10000725,7,FL,1,7,e,61,0
10000726,7,KY,0,8,f,25,0
10000727,9,PA,0,10,e,40,0
10000729,11,PA,1,3,e,66,1
10000731,5,PA,1,14,e,44,0
10000732,5,AR,1,8,f,33,0
10000733,9,MO,0,7,f,20,0
10000734,3,OH,1,2,g,75,1
10000735,5,PA,1,7,f,23,0
10000736,4,AR,1,9,g,41,0
10000739,12,OK,1,2,e,68,0
10000743,7,IN,0,10,e,39,0
10000746,5,KY,1,2,e,64,0
10000749,8,FL,1,12,d,35,0
10000753,9,FL,1,1,g,75,0
10000755,7,NY,1,12,e,60,0
10000756,5,PA,1,23,e,75,1
10000759,10,NY,1,6,d,75,0
10000762,3,OH,1,6,e,22,0
10000763,6,MD,1,9,e,60,1
10000764,5,OH,1,1,g,44,1
10000767,3,NH,1,6,f,63,0
10000768,4,OK,1,1,d,28,0
10000772,7,NY,1,4,f,43,0
10000773,9,FL,0,4,e,54,0
10000776,6,GA,1,2,f,44,0
10000778,7,AL,1,19,d,29,1
10000780,6,ND,1,5,d,57,0
10000781,6,TN,1,4,e,32,0
10000782,6,IN,1,1,d,23,1
10000783,6,AL,1,5,d,28,0
10000784,7,CT,0,4,d,20,0
10000787,4,KS,0,1,f,38,0
10000791,5,IN,1,15,d,26,0
10000792,3,CO,1,42,a,27,0
10000795,4,AR,0,14,f,75,0
10000796,5,TN,1,1,g,59,0
10000798,9,TN,0,7,e,44,1
10000799,6,TN,1,8,f,34,0
10000800,10,FL,1,10,e,72,1
10000801,9,FL,1,1,e,68,0
10000804,4,PA,0,3,d,42,0
10000805,4,NY,1,3,e,29,0
10000806,5,NY,1,10,g,41,0
10000808,3,NY,1,3,g,70,1
10000809,3,KY,0,23,c,25,0
10000812,7,FL,1,3,f,64,0
10000813,7,OH,1,18,g,44,0
10000815,7,PA,0,7,f,35,0
10000816,10,FL,0,12,h,27,0
10000818,8,FL,0,12,f,45,0
10000819,7,AL,1,6,g,70,0
10000821,5,NY,1,2,g,54,0
10000822,11,NM,0,12,g,44,0
10000823,4,RI,1,1,f,51,1
10000825,9,OK,1,12,e,36,0
10000826,10,MS,1,8,f,31,0
10000827,9,FL,1,3,e,31,0
10000828,7,WA,1,15,g,29,0
10000829,7,CT,1,16,d,43,0
10000831,6,MT,0,2,e,32,1
10000832,8,NY,1,2,f,43,0
10000835,11,WI,1,17,d,49,0
10000837,6,IA,0,9,d,20,0
10000838,7,NY,1,2,h,42,0
10000839,3,NH,1,16,g,49,1
10000841,8,PA,0,6,f,43,0
10000842,9,FL,1,7,i,65,1
10000845,7,PA,1,5,e,72,0
10000846,8,WA,0,3,d,31,0
10000847,3,FL,1,6,f,75,1
10000848,8,CT,0,9,c,26,1
10000850,10,WA,1,8,d,62,0
10000851,7,WA,0,4,g,39,0
10000852,11,FL,1,11,g,75,0
10000853,8,OR,0,1,d,19,0
10000854,7,PA,1,4,f,41,0
10000855,5,OR,0,9,e,62,0
10000856,5,NY,0,2,f,25,0
10000857,8,IN,0,5,f,27,0
10000858,6,TN,0,6,g,56,0
10000860,9,WA,0,7,d,31,0
10000861,6,OH,1,11,f,53,0
10000863,6,OR,0,2,e,63,0
10000864,9,NY,0,11,e,34,0
10000865,8,NY,1,1,d,35,0
10000866,3,NY,0,8,e,59,1
10000867,8,NY,0,5,e,30,0
10000868,6,PA,0,2,e,30,1
10000869,6,KY,0,1,f,27,0
10000871,6,FL,1,4,e,70,1
10000874,6,FL,1,1,g,72,1
10000875,7,FL,1,7,d,74,0
10000877,6,NY,1,2,e,52,0
10000879,10,CT,0,9,f,23,0
10000880,5,OK,0,16,e,21,0
10000882,8,CO,0,13,f,23,0
10000886,9,FL,0,3,d,63,0
10000888,7,IN,1,5,f,61,0
10000889,4,FL,1,5,d,60,0
10000890,7,PA,1,1,f,24,0
10000891,8,UT,1,3,f,63,0
10000892,8,AL,1,4,g,25,0
10000894,5,PA,1,1,e,46,0
10000896,8,NY,1,17,f,44,0
10000897,7,PA,0,11,e,26,0
10000898,10,NY,1,6,e,51,1
10000899,7,FL,1,1,e,75,0
10000900,7,OR,1,18,d,66,0
10000903,5,FL,1,4,h,39,0
10000904,4,AL,0,9,g,26,0
10000905,8,FL,1,9,g,54,1
10000907,8,NY,0,6,d,42,1
10000908,8,KY,0,8,e,48,1
10000912,9,WA,1,3,f,63,0
10000913,4,NM,1,22,e,75,0
10000914,4,TN,1,4,d,52,0
10000919,6,CT,0,3,d,40,0
10000921,9,TN,0,11,h,71,1
10000922,6,FL,0,12,e,28,0
10000923,5,UT,0,4,e,43,0
10000924,5,NY,0,2,f,31,0
10000925,5,ME,0,1,f,19,0
10000926,6,NV,1,8,d,75,0
10000929,10,OR,1,15,g,75,0
10000930,10,AL,1,16,g,41,0
10000931,10,MD,0,7,e,27,0
10000932,6,PA,1,5,e,33,0
10000933,8,GA,0,2,e,33,0
10000934,8,MO,0,8,e,29,0
10000935,11,FL,1,6,f,75,0
10000936,5,FL,0,8,d,26,0
10000937,7,NY,0,18,e,75,1
10000940,6,CT,0,12,d,24,0
10000941,6,IN,1,6,f,36,0
10000942,6,OR,0,11,c,47,0
10000943,10,UT,0,7,d,21,0
10000944,11,OH,1,13,f,41,1
10000945,7,CO,0,7,h,74,0
10000946,4,NY,1,2,h,69,1
10000947,5,OH,1,13,f,55,0
10000948,6,NV,0,8,f,57,1
10000949,10,OK,0,23,d,44,0
10000951,7,IN,1,6,e,23,0
10000953,5,MD,1,16,f,47,0
10000958,9,PA,0,9,e,26,0
10000959,6,AL,1,2,f,54,0
10000960,5,WV,1,9,e,68,0
10000961,4,FL,0,3,f,69,0
10000962,11,OK,1,2,f,25,0
10000963,10,PA,1,7,d,33,0
10000965,8,FL,1,11,f,75,0
10000966,8,OH,0,1,h,29,0
10000967,9,FL,1,31,c,67,0
10000969,8,PA,1,11,d,32,0
10000970,3,PA,0,2,e,73,0
10000971,9,ID,1,7,d,41,0
10000972,7,OH,1,6,e,49,0
10000973,4,OH,1,7,f,44,0
10000974,6,NM,1,3,h,75,0
10000975,6,PA,1,17,e,54,0
10000976,5,PA,1,3,f,42,0
10000978,9,IN,0,5,f,24,0
10000980,5,KY,0,6,e,28,0
10000982,8,OH,1,3,e,35,0
10000983,5,NV,0,1,d,21,0
10000987,4,NE,1,4,f,62,0
10000988,6,OH,1,1,d,49,0
10000989,5,OH,0,13,e,27,0
10000992,7,NY,0,2,e,75,0
10000993,9,FL,0,7,g,57,0
10000994,4,TN,1,3,e,53,0
10000999,6,NY,1,1,g,59,0
10001002,7,FL,1,5,f,69,1
10001003,8,FL,0,5,e,71,0
10001004,6,WA,0,1,h,27,1
10001006,9,FL,0,1,e,30,1
10001007,4,FL,1,8,d,23,0
10001009,10,MO,0,11,e,48,0
10001014,11,AL,1,7,e,46,1
10001016,4,AL,1,7,e,20,1
10001018,4,KY,1,18,c,64,1
10001019,5,MD,0,9,e,36,0
10001020,7,PA,1,16,e,75,0
10001021,3,TN,0,9,e,23,1
10001022,5,CO,1,2,f,45,0
10001023,7,WA,0,9,e,59,0
10001024,8,AL,1,1,f,34,0
10001027,3,NH,0,2,e,27,0
10001029,5,OH,1,8,e,64,1
10001030,7,CO,0,23,e,32,0
10001032,9,AL,1,5,g,30,0
10001035,8,FL,1,2,f,74,0
10001037,6,OR,0,16,e,22,0
10001038,5,NY,0,1,e,25,0
10001039,9,WA,1,7,g,27,0
10001040,10,OR,0,9,f,75,0
10001041,3,IA,1,16,a,56,1
10001043,3,FL,1,18,e,62,0
10001044,7,NE,0,22,d,23,0
10001045,5,NY,0,2,d,24,1
10001048,7,AL,1,13,e,60,0
10001049,4,CO,0,24,d,22,0
10001050,9,NY,1,7,d,45,0
10001051,6,PA,0,27,d,19,0
10001053,3,PA,1,6,e,42,0
10001054,8,NY,1,9,f,75,0
10001057,6,CO,1,7,g,25,0
10001059,8,NH,0,6,d,51,0
10001061,8,NY,0,9,d,24,0
10001063,5,NM,1,6,f,48,0
10001064,8,FL,0,9,g,22,0
10001067,7,RI,1,6,g,42,1
10001068,7,NY,1,5,e,72,1
10001070,8,NY,0,8,e,59,0
10001071,5,NY,1,6,f,72,1
10001072,5,PA,1,4,d,61,0
10001073,8,NY,1,2,f,75,1
10001074,7,GA,1,13,f,55,0
10001076,10,NY,0,1,f,25,0
10001077,7,NM,1,8,f,42,0
10001078,11,PA,1,7,e,27,0
10001079,6,CO,0,4,f,35,0
10001081,6,KS,0,14,f,26,0
10001083,5,PA,0,7,d,41,0
10001084,10,FL,0,15,d,31,0
10001086,10,WA,1,1,g,66,1
10001087,6,IN,1,9,f,35,0
10001089,8,NY,0,14,d,37,0
10001090,5,OR,1,10,e,38,0
10001091,7,PA,1,4,f,75,0
10001092,7,FL,1,4,e,35,0
10001094,8,NV,0,8,e,25,0
10001098,9,WA,0,9,e,19,0
10001099,8,IA,0,15,f,25,0
10001100,6,IN,1,12,g,74,1
10001103,10,FL,0,1,d,75,0
10001104,6,PA,0,8,e,28,0
10001106,8,KY,0,9,f,46,0
10001107,5,PA,1,10,f,56,0
10001110,6,MD,0,5,e,75,1
10001112,6,PA,1,11,c,34,0
10001113,10,PA,0,1,f,31,0
10001114,5,RI,0,7,e,22,0
10001116,5,FL,1,9,d,52,0
10001117,5,NY,0,4,f,47,0
10001121,8,FL,1,6,e,60,0
10001122,6,WA,1,14,h,31,0
10001123,6,CT,0,23,d,40,0
10001124,6,TN,0,8,e,25,0
10001126,9,MD,1,8,g,54,1
10001127,7,FL,0,13,e,65,1
10001128,6,AL,0,4,d,25,0
10001129,8,IN,0,11,e,41,0
10001130,7,NY,0,2,e,28,0
10001131,6,KY,0,1,f,20,0
10001133,4,NY,1,7,f,66,0
10001134,8,WV,0,2,f,56,0
10001135,8,PA,1,7,f,65,0
10001136,5,WI,0,22,e,66,0
10001137,8,ND,1,1,h,42,0
10001139,8,FL,1,4,f,63,1
10001140,10,OH,1,17,c,38,0
10001141,11,NY,1,14,e,33,1
10001143,3,MD,1,8,g,38,0
10001145,7,GA,1,22,g,59,0
10001146,4,NH,1,4,g,52,0
10001147,6,NV,0,6,f,59,0
10001152,3,ME,1,9,g,32,1
10001153,6,NY,1,3,e,75,0
10001154,5,ME,0,2,g,46,0
10001155,8,NY,0,1,e,28,0
10001156,5,IN,1,45,a,75,0
10001157,7,NH,0,12,e,27,0
10001159,8,NY,0,10,g,75,0
10001160,3,OK,0,14,f,20,0
10001161,5,PA,1,17,d,50,0
10001162,7,PA,0,9,h,45,0
10001163,8,PA,0,10,e,25,0
